
Param lmweight= 1.0 , insertionPenalty=0.0
lmw 1.0 insw 0.0 UTT-1  <s> one </s>	->	 <s> SIX </s>	(-2189.6140041289477)	[2]
lmw 1.0 insw 5.0 UTT-134	<s> oh </s>	->	 <s> OH </s>	(-2120.1252172472205)	[1]
lmw 1.0 insw 5.0 UTT-135	<s> zero </s>	->	 <s> SIX </s>	(-2524.828963647274)	[2]
lmw 1.0 insw 5.0 UTT-136	<s> one oh five oh oh four five </s>	->	 <s> OH OH OH OH </s>	(-6139.748651163358)	[5]
lmw 1.0 insw 5.0 UTT-137	<s> three two five </s>	->	 <s> OH </s>	(-3713.2972869104224)	[4]
lmw 1.0 insw 5.0 UTT-138	<s> four four seven three </s>	->	 <s> SIX </s>	(-3393.0120361720597)	[5]
lmw 1.0 insw 5.0 UTT-139	<s> five two seven four one five five </s>	->	 <s> SIX SIX </s>	(-7005.429549144476)	[8]
lmw 1.0 insw 5.0 UTT-140	<s> six seven two six two </s>	->	 <s> SIX </s>	(-4285.593638105238)	[5]
lmw 1.0 insw 5.0 UTT-141	<s> seven nine </s>	->	 <s> OH </s>	(-3275.562765293421)	[3]
lmw 1.0 insw 5.0 UTT-142	<s> eight </s>	->	 <s> OH </s>	(-1874.374856430421)	[2]
lmw 1.0 insw 5.0 UTT-143	<s> nine </s>	->	 <s> OH </s>	(-1916.6689205244495)	[2]
lmw 1.0 insw 5.0 UTT-144	<s> zero three seven six zero four zero </s>	->	 <s> SIX SIX OH </s>	(-6898.648418914069)	[7]
lmw 1.0 insw 5.0 UTT-145	<s> one one </s>	->	 <s> SIX </s>	(-2532.941274021045)	[3]
lmw 1.0 insw 5.0 UTT-146	<s> two five seven </s>	->	 <s> OH FIVE </s>	(-3164.3570807373585)	[3]
lmw 1.0 insw 5.0 UTT-147	<s> three nine </s>	->	 <s> SIX </s>	(-3076.67457386095)	[3]
lmw 1.0 insw 5.0 UTT-148	<s> four seven nine oh oh nine oh </s>	->	 <s> SIX OH OH OH </s>	(-7015.9859410386825)	[5]
lmw 1.0 insw 5.0 UTT-149	<s> five </s>	->	 <s> OH </s>	(-1899.0197105642178)	[2]
lmw 1.0 insw 5.0 UTT-150	<s> six oh five oh </s>	->	 <s> OH OH </s>	(-4695.934221702259)	[3]
lmw 1.0 insw 5.0 UTT-151	<s> eight one </s>	->	 <s> OH </s>	(-2917.2677672984496)	[3]
lmw 1.0 insw 5.0 UTT-152	<s> nine two two six </s>	->	 <s> SIX SIX </s>	(-4521.662610208448)	[4]
lmw 1.0 insw 5.0 UTT-153	<s> oh nine seven </s>	->	 <s> SIX OH </s>	(-3697.0720270399593)	[4]
lmw 1.0 insw 5.0 UTT-154	<s> zero </s>	->	 <s> OH </s>	(-2052.860117974165)	[2]
lmw 1.0 insw 5.0 UTT-155	<s> one </s>	->	 <s> SIX </s>	(-1766.4361134052037)	[2]
lmw 1.0 insw 5.0 UTT-156	<s> two </s>	->	 <s> OH </s>	(-1818.1699621070716)	[2]
lmw 1.0 insw 5.0 UTT-157	<s> three </s>	->	 <s> OH </s>	(-2375.7225547666626)	[2]
lmw 1.0 insw 5.0 UTT-158	<s> five one seven one four two six </s>	->	 <s> SIX SIX </s>	(-6947.4335057972385)	[7]
lmw 1.0 insw 5.0 UTT-159	<s> six four six </s>	->	 <s> OH </s>	(-4275.9222760880975)	[4]
lmw 1.0 insw 5.0 UTT-160	<s> seven six one one </s>	->	 <s> SIX SIX </s>	(-4088.585756741027)	[4]
lmw 1.0 insw 5.0 UTT-161	<s> eight seven two four six three seven </s>	->	 <s> SIX OH OH FIVE SIX FIVE </s>	(-8183.1187303439865)	[7]
lmw 1.0 insw 5.0 UTT-162	<s> nine </s>	->	 <s> OH FIVE </s>	(-2920.8456305291124)	[3]
lmw 1.0 insw 5.0 UTT-163	<s> oh </s>	->	 <s> OH </s>	(-1803.6229408147863)	[1]
lmw 1.0 insw 5.0 UTT-164	<s> zero zero </s>	->	 <s> OH </s>	(-3188.0636845773465)	[3]
lmw 1.0 insw 5.0 UTT-165	<s> two one </s>	->	 <s> SIX </s>	(-2391.2169760623306)	[3]
lmw 1.0 insw 5.0 UTT-166	<s> three three eight </s>	->	 <s> SIX </s>	(-3716.5302784182923)	[4]
lmw 1.0 insw 5.0 UTT-167	<s> four four eight one five </s>	->	 <s> OH </s>	(-5617.115236893013)	[6]
lmw 1.0 insw 5.0 UTT-168	<s> five </s>	->	 <s> OH </s>	(-2338.8823114870893)	[2]
lmw 1.0 insw 5.0 UTT-169	<s> six seven eight </s>	->	 <s> SIX SIX </s>	(-4007.461544552662)	[3]
lmw 1.0 insw 5.0 UTT-170	<s> seven </s>	->	 <s> OH </s>	(-2442.4531040354523)	[2]
lmw 1.0 insw 5.0 UTT-171	<s> eight </s>	->	 <s> SIX </s>	(-1871.6506526696544)	[2]
lmw 1.0 insw 5.0 UTT-172	<s> oh one three two one </s>	->	 <s> SIX SIX </s>	(-5445.5524456419125)	[6]
lmw 1.0 insw 5.0 UTT-173	<s> zero six zero five </s>	->	 <s> SIX SIX OH </s>	(-5501.732123102069)	[4]
lmw 1.0 insw 5.0 UTT-174	<s> one six oh nine seven </s>	->	 <s> SIX SIX </s>	(-4399.334858578519)	[5]
lmw 1.0 insw 5.0 UTT-175	<s> two </s>	->	 <s> SIX </s>	(-1719.5063054349384)	[2]
lmw 1.0 insw 5.0 UTT-176	<s> three eight </s>	->	 <s> SIX </s>	(-2445.137726303532)	[3]
lmw 1.0 insw 5.0 UTT-177	<s> four </s>	->	 <s> OH </s>	(-1630.9019634466804)	[2]
lmw 1.0 insw 5.0 UTT-178	<s> five zero </s>	->	 <s> OH </s>	(-2509.981732498514)	[3]
lmw 1.0 insw 5.0 UTT-179	<s> seven three zero two three zero one </s>	->	 <s> SIX SIX SIX </s>	(-7140.807835401365)	[8]
lmw 1.0 insw 5.0 UTT-180	<s> eight five three seven six zero six </s>	->	 <s> SIX SIX SIX SIX SIX </s>	(-7365.623024868826)	[6]
lmw 1.0 insw 5.0 UTT-181	<s> nine five zero </s>	->	 <s> SIX </s>	(-3093.5768139936354)	[4]
lmw 1.0 insw 5.0 UTT-182	<s> oh nine oh eight four six four </s>	->	 <s> SIX SIX </s>	(-6028.188212246625)	[7]
lmw 1.0 insw 5.0 UTT-183	<s> zero </s>	->	 <s> SIX </s>	(-2220.4295227010653)	[2]
lmw 1.0 insw 5.0 UTT-184	<s> one oh one two </s>	->	 <s> SIX </s>	(-3526.3174741398684)	[5]
lmw 1.0 insw 5.0 UTT-185	<s> two </s>	->	 <s> OH </s>	(-1420.7273449372988)	[2]
lmw 1.0 insw 5.0 UTT-186	<s> four one oh oh six three one </s>	->	 <s> OH FIVE SIX OH </s>	(-6413.44389881335)	[6]
lmw 1.0 insw 5.0 UTT-187	<s> five five </s>	->	 <s> OH </s>	(-2542.5379803223864)	[3]
lmw 1.0 insw 5.0 UTT-188	<s> six four one </s>	->	 <s> SIX OH </s>	(-3394.389172833313)	[3]
lmw 1.0 insw 5.0 UTT-189	<s> seven five oh </s>	->	 <s> SIX </s>	(-3480.188412911826)	[4]
lmw 1.0 insw 5.0 UTT-190	<s> eight </s>	->	 <s> SIX </s>	(-1720.9447207530934)	[2]
lmw 1.0 insw 5.0 UTT-191	<s> nine </s>	->	 <s> OH </s>	(-1628.2346892231687)	[2]
lmw 1.0 insw 5.0 UTT-192	<s> oh </s>	->	 <s> OH </s>	(-1559.2772525874202)	[1]
lmw 1.0 insw 5.0 UTT-193	<s> one two four three one </s>	->	 <s> SIX SIX SIX SIX </s>	(-7783.583020276529)	[6]
lmw 1.0 insw 5.0 UTT-194	<s> two two nine </s>	->	 <s> SIX SIX </s>	(-4174.196004722235)	[4]
lmw 1.0 insw 5.0 UTT-195	<s> three seven </s>	->	 <s> SIX </s>	(-3814.496211613168)	[3]
lmw 1.0 insw 5.0 UTT-196	<s> four eight eight oh seven oh one </s>	->	 <s> SIX SIX SIX </s>	(-8131.743275483471)	[8]
lmw 1.0 insw 5.0 UTT-197	<s> five </s>	->	 <s> OH </s>	(-2189.3827884663083)	[2]
lmw 1.0 insw 5.0 UTT-198	<s> six </s>	->	 <s> SIX </s>	(-2355.121308403152)	[1]
lmw 1.0 insw 5.0 UTT-199	<s> seven oh seven </s>	->	 <s> SIX SIX </s>	(-4512.174915372803)	[4]
lmw 1.0 insw 5.0 UTT-200	<s> nine four nine one </s>	->	 <s> SIX </s>	(-5483.573421688164)	[5]
lmw 1.0 insw 5.0 UTT-201	<s> oh three two </s>	->	 <s> SIX SIX </s>	(-3880.430364040904)	[4]
lmw 1.0 insw 5.0 UTT-202	<s> zero eight nine </s>	->	 <s> SIX </s>	(-4439.857259061063)	[4]
lmw 1.0 insw 5.0 UTT-203	<s> one nine three six two six zero </s>	->	 <s> SIX SIX SIX SIX OH </s>	(-7115.736433890653)	[6]
lmw 1.0 insw 5.0 UTT-204	<s> two </s>	->	 <s> OH </s>	(-1666.9017804674033)	[2]
lmw 1.0 insw 5.0 UTT-205	<s> three </s>	->	 <s> SIX </s>	(-2311.621625821069)	[2]
lmw 1.0 insw 5.0 UTT-206	<s> four </s>	->	 <s> SIX </s>	(-2146.2631214905014)	[2]
lmw 1.0 insw 5.0 UTT-207	<s> six three </s>	->	 <s> SIX </s>	(-2727.220670057236)	[2]
lmw 1.0 insw 5.0 UTT-208	<s> seven nine eight eight six </s>	->	 <s> SIX SIX SIX </s>	(-5691.848650504124)	[5]
lmw 1.0 insw 5.0 UTT-209	<s> eight five oh </s>	->	 <s> OH </s>	(-3014.6862071357846)	[3]
lmw 1.0 insw 5.0 UTT-210	<s> nine six oh oh </s>	->	 <s> OH </s>	(-3402.7438129100715)	[4]
lmw 1.0 insw 5.0 UTT-211	<s> oh eight one oh nine </s>	->	 <s> SIX </s>	(-4519.691453426077)	[6]
lmw 1.0 insw 5.0 UTT-212	<s> zero </s>	->	 <s> SIX </s>	(-2624.2215664867886)	[2]
lmw 1.0 insw 5.0 UTT-213	<s> one oh eight four oh three oh </s>	->	 <s> OH SIX SIX OH </s>	(-7113.544413818738)	[6]
lmw 1.0 insw 5.0 UTT-214	<s> three one two oh </s>	->	 <s> SIX OH </s>	(-4141.65508307939)	[4]
lmw 1.0 insw 5.0 UTT-215	<s> four two five three </s>	->	 <s> SIX SIX </s>	(-4619.96797890099)	[5]
lmw 1.0 insw 5.0 UTT-216	<s> five five </s>	->	 <s> SIX OH </s>	(-2723.3279052668154)	[3]
lmw 1.0 insw 5.0 UTT-217	<s> six nine </s>	->	 <s> OH SIX </s>	(-3495.924778778402)	[3]
lmw 1.0 insw 5.0 UTT-218	<s> seven nine nine </s>	->	 <s> SIX </s>	(-3652.43992742422)	[4]
lmw 1.0 insw 5.0 UTT-219	<s> eight oh </s>	->	 <s> OH </s>	(-2533.2648809374714)	[2]
lmw 1.0 insw 5.0 UTT-220	<s> nine </s>	->	 <s> SIX </s>	(-1874.346334739467)	[2]
lmw 1.0 insw 5.0 UTT-221	<s> zero two </s>	->	 <s> SIX SIX </s>	(-2761.906854712245)	[3]
lmw 1.0 insw 5.0 UTT-222	<s> one two </s>	->	 <s> OH </s>	(-2383.1579585095574)	[3]
lmw 1.0 insw 5.0 UTT-223	<s> two four </s>	->	 <s> OH </s>	(-2255.4458632843903)	[3]
lmw 1.0 insw 5.0 UTT-224	<s> three </s>	->	 <s> SIX </s>	(-1546.4710839408194)	[2]
lmw 1.0 insw 5.0 UTT-225	<s> four </s>	->	 <s> SIX </s>	(-1767.24572935076)	[2]
lmw 1.0 insw 5.0 UTT-226	<s> five </s>	->	 <s> OH </s>	(-1735.0045711404118)	[2]
lmw 1.0 insw 5.0 UTT-227	<s> six zero one seven eight five two </s>	->	 <s> SIX SIX SIX SIX </s>	(-6406.076868195361)	[7]
lmw 1.0 insw 5.0 UTT-228	<s> eight two five nine zero </s>	->	 <s> SIX </s>	(-4507.0746020888355)	[6]
lmw 1.0 insw 5.0 UTT-229	<s> nine four seven nine three </s>	->	 <s> OH </s>	(-4512.405335285203)	[6]
lmw 1.0 insw 5.0 UTT-230	<s> oh seven </s>	->	 <s> SIX </s>	(-2536.0597969930063)	[3]
lmw 1.0 insw 5.0 UTT-231	<s> zero seven one </s>	->	 <s> SIX SIX </s>	(-4276.060734831782)	[4]
lmw 1.0 insw 5.0 UTT-232	<s> one </s>	->	 <s> SIX </s>	(-1542.200402536937)	[2]
lmw 1.0 insw 5.0 UTT-233	<s> two oh nine one </s>	->	 <s> OH SIX </s>	(-3700.4857650981016)	[4]
lmw 1.0 insw 5.0 UTT-234	<s> three zero one one </s>	->	 <s> SIX </s>	(-3456.0848469414927)	[5]
lmw 1.0 insw 5.0 UTT-235	<s> five three zero </s>	->	 <s> SIX </s>	(-3123.9252631713616)	[4]
lmw 1.0 insw 5.0 UTT-236	<s> six three five seven one zero four </s>	->	 <s> SIX OH SIX SIX </s>	(-6933.673223770133)	[7]
lmw 1.0 insw 5.0 UTT-237	<s> seven seven two three </s>	->	 <s> SIX </s>	(-4080.5835745653762)	[5]
lmw 1.0 insw 5.0 UTT-238	<s> eight eight </s>	->	 <s> SIX </s>	(-2034.3215427713985)	[3]
lmw 1.0 insw 5.0 UTT-239	<s> nine </s>	->	 <s> OH </s>	(-1532.8028792653413)	[2]
lmw 1.0 insw 5.0 UTT-240	<s> oh </s>	->	 <s> OH </s>	(-1623.8383108672472)	[1]
lmw 1.0 insw 5.0 UTT-241	<s> zero </s>	->	 <s> SIX </s>	(-2011.334362197609)	[2]
lmw 1.0 insw 5.0 UTT-242	<s> two five </s>	->	 <s> OH </s>	(-2429.848076007692)	[3]
lmw 1.0 insw 5.0 UTT-243	<s> three four zero four </s>	->	 <s> SIX OH </s>	(-4376.883394212569)	[5]
lmw 1.0 insw 5.0 UTT-244	<s> four seven </s>	->	 <s> SIX </s>	(-2400.4120978650344)	[3]
lmw 1.0 insw 5.0 UTT-245	<s> five five zero three eight five four </s>	->	 <s> OH OH OH FIVE </s>	(-6540.273249429251)	[7]
lmw 1.0 insw 5.0 UTT-246	<s> six </s>	->	 <s> SIX </s>	(-2298.6973320963043)	[1]
lmw 1.0 insw 5.0 UTT-247	<s> seven </s>	->	 <s> OH </s>	(-2292.705482638906)	[2]
lmw 1.0 insw 5.0 UTT-248	<s> eight </s>	->	 <s> OH </s>	(-1899.8600729079308)	[2]
lmw 1.0 insw 5.0 UTT-249	<s> oh one nine five </s>	->	 <s> SIX OH </s>	(-3798.3135603145583)	[5]
lmw 1.0 insw 5.0 UTT-250	<s> zero one zero seven two </s>	->	 <s> SIX SIX </s>	(-5462.457866740903)	[6]
lmw 1.0 insw 5.0 UTT-251	<s> one nine </s>	->	 <s> SIX </s>	(-2624.026704639178)	[3]
lmw 1.0 insw 5.0 UTT-252	<s> two </s>	->	 <s> OH </s>	(-1848.4047651030314)	[2]
lmw 1.0 insw 5.0 UTT-253	<s> three </s>	->	 <s> SIX </s>	(-1801.6829705261503)	[2]
lmw 1.0 insw 5.0 UTT-254	<s> four </s>	->	 <s> SIX </s>	(-1799.5031936650769)	[2]
lmw 1.0 insw 5.0 UTT-255	<s> five </s>	->	 <s> OH </s>	(-1774.0884250811914)	[2]
lmw 1.0 insw 5.0 UTT-256	<s> seven two four one </s>	->	 <s> SIX </s>	(-4654.38166391341)	[5]
lmw 1.0 insw 5.0 UTT-257	<s> eight one zero zero </s>	->	 <s> SIX </s>	(-4323.9379526348985)	[5]
lmw 1.0 insw 5.0 UTT-258	<s> nine five eight six </s>	->	 <s> SIX SIX OH </s>	(-5446.862911609777)	[5]
lmw 1.0 insw 5.0 UTT-259	<s> oh nine five </s>	->	 <s> OH OH OH </s>	(-3161.458630964131)	[3]
lmw 1.0 insw 5.0 UTT-260	<s> zero eight nine eight four </s>	->	 <s> SIX </s>	(-4507.0227962183335)	[6]
lmw 1.0 insw 5.0 UTT-261	<s> one </s>	->	 <s> SIX </s>	(-2140.0791355385422)	[2]
lmw 1.0 insw 5.0 UTT-262	<s> two zero eight eight nine </s>	->	 <s> OH </s>	(-5014.575391070891)	[6]
lmw 1.0 insw 5.0 UTT-263	<s> four one five three five eight six </s>	->	 <s> SIX </s>	(-7223.911522415951)	[7]
lmw 1.0 insw 5.0 UTT-264	<s> five three four nine </s>	->	 <s> OH </s>	(-4261.773364459506)	[5]
lmw 1.0 insw 5.0 UTT-265	<s> six four </s>	->	 <s> SIX </s>	(-2793.2696739134717)	[2]
lmw 1.0 insw 5.0 UTT-266	<s> seven eight </s>	->	 <s> SIX </s>	(-2659.9826332939224)	[3]
lmw 1.0 insw 5.0 UTT-267	<s> eight nine nine oh </s>	->	 <s> OH </s>	(-3541.300377447626)	[4]
lmw 1.0 insw 5.0 UTT-268	<s> nine </s>	->	 <s> SIX </s>	(-2245.646834752464)	[2]
lmw 1.0 insw 5.0 UTT-269	<s> oh oh two one three </s>	->	 <s> OH SIX SIX </s>	(-4748.104394333759)	[5]
lmw 1.0 insw 5.0 UTT-270	<s> one four seven </s>	->	 <s> SIX </s>	(-2997.301056328332)	[4]
lmw 1.0 insw 5.0 UTT-271	<s> two three six one one zero four </s>	->	 <s> OH SIX SIX </s>	(-6719.272388501514)	[7]
lmw 1.0 insw 5.0 UTT-272	<s> three eight two oh oh four four </s>	->	 <s> SIX SIX SIX OH </s>	(-6367.080062843817)	[7]
lmw 1.0 insw 5.0 UTT-273	<s> four nine seven eight two </s>	->	 <s> SIX OH </s>	(-4574.883148656964)	[6]
lmw 1.0 insw 5.0 UTT-274	<s> five oh eight </s>	->	 <s> OH FIVE </s>	(-2730.805758449642)	[3]
lmw 1.0 insw 5.0 UTT-275	<s> six </s>	->	 <s> SIX </s>	(-1943.265013885909)	[1]
lmw 1.0 insw 5.0 UTT-276	<s> seven zero eight zero seven </s>	->	 <s> OH OH SIX </s>	(-5464.302315198829)	[6]
lmw 1.0 insw 5.0 UTT-277	<s> nine one oh </s>	->	 <s> SIX </s>	(-3471.455409821079)	[4]
lmw 1.0 insw 5.0 UTT-278	<s> oh one </s>	->	 <s> OH </s>	(-2108.2318307964697)	[2]
lmw 1.0 insw 5.0 UTT-279	<s> zero five </s>	->	 <s> OH </s>	(-2643.053778239562)	[3]
lmw 1.0 insw 5.0 UTT-280	<s> one nine </s>	->	 <s> OH </s>	(-2595.0726692736507)	[3]
lmw 1.0 insw 5.0 UTT-281	<s> two </s>	->	 <s> SIX </s>	(-2489.396502392045)	[2]
lmw 1.0 insw 5.0 UTT-282	<s> three zero eight six one four six </s>	->	 <s> SIX SIX </s>	(-7716.601828284771)	[6]
lmw 1.0 insw 5.0 UTT-283	<s> four </s>	->	 <s> OH </s>	(-2338.583163892584)	[2]
lmw 1.0 insw 5.0 UTT-284	<s> six three five oh three </s>	->	 <s> OH OH OH </s>	(-5923.060285090306)	[5]
lmw 1.0 insw 5.0 UTT-285	<s> seven four four five one </s>	->	 <s> OH OH OH OH </s>	(-5070.23729307868)	[6]
lmw 1.0 insw 5.0 UTT-286	<s> eight five three one one oh oh </s>	->	 <s> OH OH OH OH </s>	(-6812.919332052958)	[6]
lmw 1.0 insw 5.0 UTT-287	<s> nine seven eight </s>	->	 <s> SIX </s>	(-3800.433479165094)	[4]
lmw 1.0 insw 5.0 UTT-288	<s> oh </s>	->	 <s> OH </s>	(-2329.1720891988944)	[1]
lmw 1.0 insw 5.0 UTT-289	<s> zero </s>	->	 <s> SIX </s>	(-2846.7992293855696)	[2]
lmw 1.0 insw 5.0 UTT-290	<s> one </s>	->	 <s> SIX </s>	(-1753.04701845559)	[2]
lmw 1.0 insw 5.0 UTT-291	<s> three three seven one </s>	->	 <s> SIX </s>	(-3080.902828051512)	[5]
lmw 1.0 insw 5.0 UTT-292	<s> four five </s>	->	 <s> OH </s>	(-2303.8481444853865)	[3]
lmw 1.0 insw 5.0 UTT-293	<s> five eight two zero </s>	->	 <s> SIX </s>	(-3134.705600888646)	[5]
lmw 1.0 insw 5.0 UTT-294	<s> six five four nine two </s>	->	 <s> SIX </s>	(-4073.2404975810664)	[5]
lmw 1.0 insw 5.0 UTT-295	<s> seven </s>	->	 <s> SIX </s>	(-1766.9374253246222)	[2]
lmw 1.0 insw 5.0 UTT-296	<s> eight </s>	->	 <s> SIX </s>	(-2096.6619818120967)	[2]
lmw 1.0 insw 5.0 UTT-297	<s> nine zero nine two one </s>	->	 <s> SIX </s>	(-3841.7024003879465)	[6]
lmw 1.0 insw 5.0 UTT-298	<s> zero four zero five one two seven </s>	->	 <s> SIX SIX </s>	(-7032.995276615475)	[8]
lmw 1.0 insw 5.0 UTT-299	<s> one three one </s>	->	 <s> SIX </s>	(-2753.0251924986114)	[4]
lmw 1.0 insw 5.0 UTT-300	<s> two six one five one three two </s>	->	 <s> SIX </s>	(-6317.236938228096)	[7]
lmw 1.0 insw 5.0 UTT-301	<s> three seven eight two one nine four </s>	->	 <s> SIX </s>	(-5064.168182580267)	[8]
lmw 1.0 insw 5.0 UTT-302	<s> four </s>	->	 <s> SIX </s>	(-1776.4555347721364)	[2]
lmw 1.0 insw 5.0 UTT-303	<s> five oh oh eight nine </s>	->	 <s> SIX </s>	(-4419.117404293241)	[6]
lmw 1.0 insw 5.0 UTT-304	<s> six oh </s>	->	 <s> OH </s>	(-3048.1474814285125)	[2]
lmw 1.0 insw 5.0 UTT-305	<s> eight six two four eight four two </s>	->	 <s> OH SIX </s>	(-5776.8163593264835)	[7]
lmw 1.0 insw 5.0 UTT-306	<s> nine six </s>	->	 <s> SIX </s>	(-2760.10241121742)	[2]
lmw 1.0 insw 5.0 UTT-307	<s> oh seven five four seven oh four </s>	->	 <s> OH SIX </s>	(-6151.513280845897)	[7]
lmw 1.0 insw 5.0 UTT-308	<s> zero </s>	->	 <s> SIX </s>	(-2264.4876078082207)	[2]
lmw 1.0 insw 5.0 UTT-309	<s> one nine nine oh oh </s>	->	 <s> SIX OH </s>	(-4153.625782159218)	[5]
lmw 1.0 insw 5.0 UTT-310	<s> two </s>	->	 <s> SIX </s>	(-1551.9187706850262)	[2]
lmw 1.0 insw 5.0 UTT-311	<s> three </s>	->	 <s> OH </s>	(-1617.3091206965241)	[2]
lmw 1.0 insw 5.0 UTT-312	<s> five one eight five six </s>	->	 <s> SIX SIX </s>	(-4963.20429538176)	[5]
lmw 1.0 insw 5.0 UTT-313	<s> six four one </s>	->	 <s> SIX SIX </s>	(-3507.7963297562897)	[3]
lmw 1.0 insw 5.0 UTT-314	<s> seven seven one oh </s>	->	 <s> SIX OH </s>	(-4311.3569260170125)	[4]
lmw 1.0 insw 5.0 UTT-315	<s> eight eight two </s>	->	 <s> SIX </s>	(-3104.7844308777926)	[4]
lmw 1.0 insw 5.0 UTT-316	<s> nine </s>	->	 <s> OH </s>	(-1675.0593551023594)	[2]
lmw 1.0 insw 5.0 UTT-317	<s> oh </s>	->	 <s> OH </s>	(-1512.4857863801074)	[1]
lmw 1.0 insw 5.0 UTT-318	<s> zero </s>	->	 <s> OH </s>	(-2114.27173676734)	[2]
lmw 1.0 insw 5.0 UTT-319	<s> two two seven eight oh nine one </s>	->	 <s> SIX SIX </s>	(-6127.713212867001)	[8]
lmw 1.0 insw 5.0 UTT-320	<s> three three seven six zero seven zero </s>	->	 <s> SIX SIX SIX OH </s>	(-6265.276951154244)	[7]
lmw 1.0 insw 5.0 UTT-321	<s> four nine seven two nine </s>	->	 <s> SIX </s>	(-4392.2604283262535)	[6]
lmw 1.0 insw 5.0 UTT-322	<s> five </s>	->	 <s> OH </s>	(-1724.994013964422)	[2]
lmw 1.0 insw 5.0 UTT-323	<s> six </s>	->	 <s> SIX </s>	(-1959.1186451477126)	[1]
lmw 1.0 insw 5.0 UTT-324	<s> seven </s>	->	 <s> OH </s>	(-1522.0913199684)	[2]
lmw 1.0 insw 5.0 UTT-325	<s> eight zero six zero four four four </s>	->	 <s> SIX SIX </s>	(-5990.277026056173)	[7]
lmw 1.0 insw 5.0 UTT-326	<s> oh four seven seven two </s>	->	 <s> SIX </s>	(-3777.602949747992)	[6]
lmw 1.0 insw 5.0 UTT-327	<s> zero two zero one seven seven four </s>	->	 <s> SIX </s>	(-5667.856438627101)	[8]
lmw 1.0 insw 5.0 UTT-328	<s> one seven three two one </s>	->	 <s> SIX SIX </s>	(-4798.159633287408)	[6]
lmw 1.0 insw 5.0 UTT-329	<s> two seven five </s>	->	 <s> SIX OH </s>	(-3189.307327581106)	[4]
lmw 1.0 insw 5.0 UTT-330	<s> three </s>	->	 <s> OH </s>	(-2009.5312540637728)	[2]
lmw 1.0 insw 5.0 UTT-331	<s> four </s>	->	 <s> OH </s>	(-1758.9821131988522)	[2]
lmw 1.0 insw 5.0 UTT-332	<s> five zero three nine </s>	->	 <s> SIX </s>	(-4505.942707104883)	[5]
lmw 1.0 insw 5.0 UTT-333	<s> seven two nine </s>	->	 <s> SIX </s>	(-3151.9829108785975)	[4]
lmw 1.0 insw 5.0 UTT-334	<s> eight five one nine zero </s>	->	 <s> SIX </s>	(-4722.959097485925)	[6]
lmw 1.0 insw 5.0 UTT-335	<s> nine eight six one four </s>	->	 <s> OH OH SIX SIX SIX SIX </s>	(-5287.542252151712)	[6]
lmw 1.0 insw 5.0 UTT-336	<s> oh eight seven one four seven nine </s>	->	 <s> OH SIX </s>	(-6158.788617840204)	[7]
lmw 1.0 insw 5.0 UTT-337	<s> zero </s>	->	 <s> OH </s>	(-2027.676799524778)	[2]
lmw 1.0 insw 5.0 UTT-338	<s> one </s>	->	 <s> SIX </s>	(-1900.9896677017296)	[2]
lmw 1.0 insw 5.0 UTT-339	<s> two zero six nine four seven seven </s>	->	 <s> SIX SIX SIX SIX </s>	(-7418.457946935883)	[7]
lmw 1.0 insw 5.0 UTT-340	<s> four one one six </s>	->	 <s> SIX </s>	(-3888.618679601564)	[4]
lmw 1.0 insw 5.0 UTT-341	<s> five four </s>	->	 <s> SIX SIX </s>	(-2465.263819393221)	[3]
lmw 1.0 insw 5.0 UTT-342	<s> six seven five one </s>	->	 <s> SIX SIX OH </s>	(-3900.1467280795036)	[4]
lmw 1.0 insw 5.0 UTT-343	<s> seven eight six three five seven one </s>	->	 <s> SIX SIX OH </s>	(-6800.878126925693)	[7]
lmw 1.0 insw 5.0 UTT-344	<s> eight </s>	->	 <s> SIX </s>	(-1638.7682712505323)	[2]
lmw 1.0 insw 5.0 UTT-345	<s> nine </s>	->	 <s> SIX </s>	(-1695.1278609729209)	[2]
lmw 1.0 insw 5.0 UTT-346	<s> oh oh oh </s>	->	 <s> OH </s>	(-3331.2523557980326)	[3]
lmw 1.0 insw 5.0 UTT-347	<s> one four three two </s>	->	 <s> OH </s>	(-4334.798169095236)	[5]
lmw 1.0 insw 5.0 UTT-348	<s> two three oh </s>	->	 <s> OH </s>	(-3010.7441525919467)	[3]
lmw 1.0 insw 5.0 UTT-349	<s> three five two four four </s>	->	 <s> SIX SIX OH </s>	(-5442.001130381386)	[6]
lmw 1.0 insw 5.0 UTT-350	<s> four six seven nine one </s>	->	 <s> SIX SIX SIX </s>	(-4635.44105639385)	[5]
lmw 1.0 insw 5.0 UTT-351	<s> five </s>	->	 <s> OH </s>	(-2207.1618470093695)	[2]
lmw 1.0 insw 5.0 UTT-352	<s> six </s>	->	 <s> SIX </s>	(-2111.0096163802746)	[1]
lmw 1.0 insw 5.0 UTT-353	<s> seven zero four two nine nine seven </s>	->	 <s> SIX SIX </s>	(-6502.187684894862)	[8]
lmw 1.0 insw 5.0 UTT-354	<s> nine two zero seven </s>	->	 <s> SIX </s>	(-4053.923027260486)	[5]
lmw 1.0 insw 5.0 UTT-355	<s> oh two </s>	->	 <s> OH </s>	(-2342.5249971335447)	[2]
lmw 1.0 insw 5.0 UTT-356	<s> zero nine </s>	->	 <s> SIX </s>	(-2793.3767269006507)	[3]
